Overall rank,Country or region,Life Satisfaction Score,GDP per capita(USD),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
133,Ukraine,4.3,82000,1.39,0.739,0.178,0.187,0.01
134,Ethiopia,4.3,33600,1.033,0.532,0.344,0.209,0.1
135,Swaziland,4.2,81100,1.149,0,0.313,0.074,0.135
136,Uganda,4.2,33200,1.069,0.443,0.356,0.252,0.06
137,Egypt,4.2,91300,1.039,0.644,0.241,0.076,0.067
138,Zambia,4.1,57800,1.058,0.426,0.431,0.247,0.087
139,Togo,4.1,27500,0.572,0.41,0.293,0.177,0.085
140,India,4.0,75500,0.765,0.588,0.498,0.2,0.085
141,Liberia,4.0,7300,0.922,0.443,0.37,0.233,0.033
142,Comoros,4.0,27400,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.9,27400,0.916,0.555,0.148,0.169,0.041
144,Lesotho,3.8,48900,1.169,0.168,0.359,0.107,0.093
145,Burundi,3.8,4600,0.447,0.38,0.22,0.176,0.18
146,Zimbabwe,3.7,36600,1.114,0.433,0.361,0.151,0.089
147,Haiti,3.6,32300,0.688,0.449,0.026,0.419,0.11
148,Botswana,3.5,104100,1.145,0.538,0.455,0.025,0.1
149,Syria,3.5,61900,0.378,0.44,0.013,0.331,0.141
150,Malawi,3.4,19100,0.56,0.495,0.443,0.218,0.089
151,Yemen,3.4,28700,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.3,35900,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.2,47600,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.2,35000,0.517,0.361,0,0.158,0.025
155,Central African Republic,3.1,2600,0,0.105,0.225,0.235,0.035
156,South Sudan,2.9,30600,0.575,0.295,0.01,0.202,0.091
